Unit 1 3-1,unit-1-3-1
I'm fine,Добре съм
Look,Виж,Вижте
look,гледам,поглеждам
neighbour,съсед
neighbours,съседи
at,при,на,в
for,за
two,две
week,седмица
first name,собствено име,малко име
end,и
this,това,този,тази
wife,съпруга
too,също
I'd like to introduce you to,Бих искал да ти представя
I'd like to,Бих искал
introduce,представям,запознавам,въвеждам
but,но
she,тя
isn't,не е
here,тук
at the moment,в момента
moment,момент
in town,в града
with,с
child,дете
children,деца
they're,те са
at the supermarket,в супермаркета
supermarket,супермаркет
What a pity,Колко жалко
